train loss,train accuracy,test loss,test accuracy
0.39821777,0.81575,0.67038333,0.6825
0.4108125,0.812,0.6578936,0.6835
0.38120046,0.8285,0.68551195,0.683
0.39837343,0.819,0.6457601,0.696
0.3916396,0.822125,0.680866,0.6585
0.41789037,0.804875,0.65591943,0.677
0.42128372,0.80475,0.6352159,0.675
0.38853472,0.826375,0.6780349,0.676
0.41412905,0.808375,0.61429965,0.6945
0.4196546,0.804375,0.64885515,0.665
