train loss,train accuracy,test loss,test accuracy
0.5067596,0.77325,0.72743016,0.6505
0.50332814,0.774,0.70042473,0.671
0.50349426,0.770875,0.68982553,0.67
0.49600512,0.773,0.7154188,0.649
0.5141265,0.772375,0.7375371,0.6425
0.5129226,0.7635,0.7280552,0.6375
0.5082548,0.77,0.72565836,0.635
0.5117299,0.764125,0.68809396,0.657
0.52724,0.78275,0.75411594,0.652
0.51190233,0.774,0.73669195,0.6615
