train loss,train accuracy,test loss,test accuracy
0.3734768,0.841375,0.7036611,0.6805
0.40374988,0.814875,0.6800058,0.657
0.42988026,0.79775,0.6644132,0.66
0.39048296,0.82375,0.6773004,0.668
0.3937419,0.820375,0.6981955,0.673
0.40620404,0.8085,0.6939939,0.639
0.3843469,0.828125,0.6872088,0.6725
0.39082855,0.826125,0.67126983,0.685
0.40343663,0.820375,0.6738756,0.681
0.38834003,0.82575,0.6861291,0.679
