train loss,train accuracy,test loss,test accuracy
0.5173357,0.7645,0.71919847,0.6405
0.5041374,0.776875,0.71361655,0.6645
0.49848866,0.7795,0.73591834,0.6335
0.5168336,0.791875,0.80077195,0.6445
0.5117224,0.768625,0.7457544,0.6345
0.5087423,0.775875,0.71796805,0.6405
0.49837935,0.7775,0.7223744,0.641
0.5032238,0.7925,0.7746994,0.6445
0.50169903,0.777375,0.7458712,0.639
0.49531642,0.778625,0.7505586,0.627
