train loss,train accuracy,test loss,test accuracy
0.38765132,0.82925,0.69919705,0.6545
0.39878467,0.825125,0.6824171,0.668
0.38901874,0.828125,0.691481,0.659
0.40536925,0.814625,0.6792263,0.655
0.39553654,0.820375,0.6706067,0.6765
0.40771824,0.81325,0.6759737,0.6735
0.41266346,0.80875,0.6641291,0.656
0.40219414,0.819625,0.67401594,0.662
0.40380025,0.808875,0.67222583,0.671
0.40927923,0.81075,0.6543965,0.6745
