train loss,train accuracy,test loss,test accuracy
0.52275735,0.752,0.715687,0.643
0.5137837,0.7625,0.7050721,0.6585
0.5114211,0.778875,0.7367917,0.6425
0.49098688,0.78025,0.72991,0.6415
0.5170382,0.77125,0.7584123,0.6325
0.5109996,0.792875,0.7557976,0.647
0.5333435,0.783875,0.78212315,0.6435
0.49952173,0.77625,0.7135825,0.6505
0.49807414,0.78075,0.7316703,0.648
0.5117053,0.767625,0.7226228,0.645
